"txid","refid","time","type","subtype","aclass","asset","amount","fee","balance"
"","AGB76R3-DWC5SC-UCBGGX","2021-11-03 20:15:19","withdrawal","","currency","XXBT",-0.0307600000,0.0001500000,""
"LU6WLT-MWUUY-BVWZ6E","AGB76R3-DWC5SC-UCBGGX","2021-11-03 21:02:37","withdrawal","","currency","XXBT",-0.0307600000,0.0001500000,0.0000060100
"","A2BEPJY-DA4STX-EUIDDR","2021-11-03 20:42:17","withdrawal","","currency","XETH",-0.3596600000,0.0035000000,""
"LZUN3G-CKFHJ-SPCPCB","A2BEPJY-DA4STX-EUIDDR","2021-11-03 20:46:17","withdrawal","","currency","XETH",-0.3596600000,0.0035000000,0.0000056800
"","BSIEEVZ-2KMYBJ-VMCTBB","2021-11-03 20:44:02","withdrawal","","currency","DOT",-36.1477171000,0.0500000000,""
"LISGE7-RAPDY-QMZ626","BSIEEVZ-2KMYBJ-VMCTBB","2021-11-03 21:13:25","withdrawal","","currency","DOT",-36.1477171000,0.0500000000,0.0000000000
